name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
activation_9,Activation,"(None, 55, 55, 64)","(None, 55, 55, 64)",bn2c_branch2b,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2c_branch2c,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 256)",activation_9,16640,256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2c_branch2c,BatchNormalization,"(None, 55, 55, 256)","(None, 55, 55, 256)",res2c_branch2c,1024,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_3,Add,"[(None, 55, 55, 256), (None, 55, 55, 256)]","(None, 55, 55, 256)",bn2c_branch2c/activation_7,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_10,Activation,"(None, 55, 55, 256)","(None, 55, 55, 256)",add_3,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res3a_branch2a,Conv2D,"(None, 55, 55, 256)","(None, 28, 28, 128)",activation_10,32896,128,"(1, 1)",linear,valid,"(2, 2)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn3a_branch2a,BatchNormalization,"(None, 28, 28, 128)","(None, 28, 28, 128)",res3a_branch2a,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_11,Activation,"(None, 28, 28, 128)","(None, 28, 28, 128)",bn3a_branch2a,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res3a_branch2b,Conv2D,"(None, 28, 28, 128)","(None, 28, 28, 128)",activation_11,147584,128,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn3a_branch2b,BatchNormalization,"(None, 28, 28, 128)","(None, 28, 28, 128)",res3a_branch2b,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_12,Activation,"(None, 28, 28, 128)","(None, 28, 28, 128)",bn3a_branch2b,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res3a_branch2c,Conv2D,"(None, 28, 28, 128)","(None, 28, 28, 512)",activation_12,66048,512,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
res3a_branch1,Conv2D,"(None, 55, 55, 256)","(None, 28, 28, 512)",activation_10,131584,512,"(1, 1)",linear,valid,"(2, 2)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
