name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,activity_regularizer,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
conv5_block3_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block3_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block3_concat,Concatenate,"[(None, 7, 7, 576), (None, 7, 7, 32)]","(None, 7, 7, 608)",conv5_block2_concat/conv5_block3_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block4_0_bn,BatchNormalization,"(None, 7, 7, 608)","(None, 7, 7, 608)",conv5_block3_concat,2432,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block4_0_relu,Activation,"(None, 7, 7, 608)","(None, 7, 7, 608)",conv5_block4_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block4_1_conv,Conv2D,"(None, 7, 7, 608)","(None, 7, 7, 128)",conv5_block4_0_relu,77824,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block4_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block4_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block4_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block4_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block4_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block4_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block4_concat,Concatenate,"[(None, 7, 7, 608), (None, 7, 7, 32)]","(None, 7, 7, 640)",conv5_block3_concat/conv5_block4_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block5_0_bn,BatchNormalization,"(None, 7, 7, 640)","(None, 7, 7, 640)",conv5_block4_concat,2560,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
